raiting,price(RUB),articul,CPU,RAM(GB),SSD(GB),GPU,RAM type,CPU cores,CPU frequency(GHZ),VRAM(GB),power supply(W)
4.7,35518,1595675036,intelxeone5-2650v2,32,512,nvidiageforcegtx1660super,DDR3,8,3.4,6,500
4.4,12511,937978691,intelcorei5-3470,16,480,intelhdgraphics2000,DDR3,4,3.2,2,400
4.6,23540,1344534561,intelcorei7-2600,8,256,nvidiageforcegtx1060,DDR3,4,3.8,6,500
4.7,46728,1136208758,intelcorei7-2600,16,1024,nvidiageforcegtx1660super,DDR3,4,3.4,6,600
2.5,27756,1645422883,intelxeone5-2650v2,32,512,amdradeonrx580,DDR4,8,3.4,8,500
4.9,58044,1418571193,intelcorei5-10400f,16,480,nvidiageforcegtx1660super,DDR4,6,2.9,6,600
4.4,31326,1602924412,intelxeone5-2640v4,16,512,amdradeonrx580,DDR4 Reg,10,2.4,8,550
4.9,165206,1652470921,intelcorei7-14700kf,32,2000,nvidiageforcertx4060ti,DDR5,20,3.4,16,600
4.9,79056,1653512818,amdryzen55600x,16,1000,nvidiageforcertx3060,DDR4,6,3.7,12,550
4.7,13486,1160592028,intelcorei5-4570,16,240,inteluhdgraphics,DDR3,4,3.6,2,400
4.5,5881,1637782945,amda10-6700,8,120,amdradeon,DDR3,4,3.7,8,240
4.9,15411,1421954819,intelcorei5-2400,16,480,intelhdgraphics,DDR3,4,3.1,1,450
5,85817,907933181,intelcorei5-12400f,32,1000,nvidiageforcertx3060,DDR4,6,4.4,12,600
4.9,70435,857423824,intelcorei7-5820k,32,1000,nvidiageforcegtx1660super,DDR4,12,3.60,6,500
4.8,96971,833227045,amdryzen55500,32,1024,nvidiageforcertx2060super,DDR4,6,3.6,8,500
4.7,54661,1135599136,intelcorei7-9700,16,1000,nvidiageforcertx3060ti,DDR4,10,2.3,8,500
5,62096,1564283095,intelcorei5-10400f,8,256,nvidiageforcertx3060,DDR4,6,2.9,12,600
4.8,32595,1688761586,intelcorei7-7700,32,1024,amdradeonrx580,DDR3,8,3.4,8,700
4.7,25210,1637763977,intelxeone5-2650v2,16,512,amdradeonrx580,DDR3,8,3.4,8,500
4.6,34185,872997764,intelcorei5-3470,16,240,nvidiageforcegtx1660super,DDR3,4,3.2,6,500
4.9,89000,1655758891,intelcorei5-12400f,32,1000,nvidiageforcertx4060,DDR4,6,2.5,8,550
